2025-07-16T12:46:57.333Z: Setting up SQLite database and EPC table...
2025-07-16T12:46:57.351Z: Database setup complete.
2025-07-16T12:46:57.352Z: Loading EPC data into SQLite...
2025-07-16T13:01:30.130Z: Processed 1,625,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:01:40.827Z: Processed 1,650,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:01:54.369Z: Processed 1,675,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:02:07.338Z: Processed 1,700,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:02:18.894Z: Processed 1,725,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:02:31.484Z: Processed 1,750,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:02:43.074Z: Processed 1,775,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:02:54.928Z: Processed 1,800,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:03:06.433Z: Processed 1,825,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:03:18.086Z: Processed 1,850,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:03:29.597Z: Processed 1,875,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:03:41.729Z: Processed 1,900,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:03:51.230Z: Processed 1,925,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:04:04.094Z: Processed 1,950,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:04:15.756Z: Processed 1,975,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:04:28.152Z: Processed 2,000,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:04:41.721Z: Processed 2,025,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:04:53.241Z: Processed 2,050,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:05:03.082Z: Processed 2,075,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:05:15.830Z: Processed 2,100,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:05:26.936Z: Processed 2,125,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:05:38.428Z: Processed 2,150,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:05:51.019Z: Processed 2,175,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:06:02.412Z: Processed 2,200,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:06:15.403Z: Processed 2,225,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:06:27.566Z: Processed 2,250,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:06:37.827Z: Processed 2,275,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:06:48.378Z: Processed 2,300,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:07:00.866Z: Processed 2,325,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:07:13.044Z: Processed 2,350,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:07:23.003Z: Processed 2,375,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:07:31.613Z: Processed 2,400,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:07:44.526Z: Processed 2,425,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:07:56.460Z: Processed 2,450,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:08:06.639Z: Processed 2,475,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:08:18.371Z: Processed 2,500,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:08:30.415Z: Processed 2,525,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:08:42.236Z: Processed 2,550,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:08:54.727Z: Processed 2,575,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:09:06.908Z: Processed 2,600,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:09:17.683Z: Processed 2,625,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:09:30.167Z: Processed 2,650,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:26:40.861Z: Processed 2,675,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:26:52.053Z: Processed 2,700,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:27:01.981Z: Processed 2,725,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:27:12.968Z: Processed 2,750,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
